Date,AUSTRUS,CDNDLUS,JAPYNUS/100,NEWZDUS,SWISFUS,BRITPUS,INDNRUS/100,INDONUS/1000,SKORWUS,NORGKUS,PHILPUS,SWEDKUS,TAIWDUS,SINGDUS,THAIBUS,TURKLUS,SARFNUS,CHILPUS,MALAYUS,US$CWMN,CHINYUS,HKDOLUS,DANKRUS,BOEUSA$
1/31/1986,0.714,0.703,0.0052,0.534,0.4936,1.4122,0.08117,0.0009,0.00112,0.1344,0.05248,0.133,0.0253,0.4679,0.03746,1700,0.34,0.0055,0.406,118.5119,0.3131,0.1282,0.1136,132.21
2/28/1986,0.6992,0.7027,0.005551,0.5245,0.5308,1.439,0.0815,0.0009,0.00113,0.1432,0.04535,0.1398,0.02554,0.4646,0.03792,1700,0.37,0.0055,0.4014,113.6627,0.3125,0.1282,0.1224,126.34
3/31/1986,0.715,0.7158,0.005629,0.535,0.5131,1.482,0.08137,0.0009,0.00113,0.137,0.04819,0.1362,0.02568,0.4608,0.038,1540,0.32,0.0054,0.389,114.0194,0.3122,0.1279,0.1166,127.06
4/30/1986,0.7407,0.7272,0.005968,0.583,0.5516,1.5475,0.08143,0.0009,0.00113,0.1442,0.04883,0.1427,0.02593,0.4566,0.0381,1500,0.31,0.0053,0.389,108.4014,0.3018,0.1284,0.1248,120.67
5/30/1986,0.7145,0.7249,0.005737,0.563,0.5176,1.475,0.07843,0.0009,0.00113,0.128,0.04876,0.1356,0.02608,0.4467,0.03798,1468,0.2513,0.0053,0.379,113.0405,0.3012,0.1281,0.1164,125.8
6/30/1986,0.6737,0.7216,0.006121,0.5515,0.5602,1.54,0.07962,0.0008834,0.00113,0.1332,0.04866,0.1406,0.02625,0.4571,0.03797,1480,0.235,0.005227,0.3813,108.8562,0.3135,0.1281,0.1227,120.87
7/31/1986,0.596,0.7257,0.006508,0.5225,0.5984,1.4925,0.07937,0.0009,0.00113,0.1351,0.0488,0.1435,0.02627,0.4601,0.03833,1463,0.189,0.0052,0.382,105.7445,0.27,0.1281,0.1269,117.21
8/29/1986,0.6095,0.7212,0.006502,0.489,0.6112,1.4795,0.07955,0.0009,0.00114,0.1372,0.04895,0.1451,0.02649,0.4647,0.03846,1475,0.2025,0.0053,0.385,105.2143,0.2707,0.1281,0.1298,116.77
9/30/1986,0.6284,0.7204,0.00648,0.4895,0.6073,1.448,0.08,0.00061,0.00114,0.1357,0.0488,0.1447,0.0272,0.4608,0.03834,1420,0.23,0.005131,0.3813,105.3153,0.2691,0.1282,0.1307,116.8
10/31/1986,0.6417,0.7196,0.006126,0.5085,0.5843,1.4065,0.07698,0.0006,0.00114,0.1328,0.04895,0.1423,0.02736,0.4556,0.03835,1392,0.205,0.0051,0.381,108.0315,0.2692,0.1282,0.1287,119.94
