Date,AUSTRUS,CDNDLUS,EURO.US,JAPYNUS/100,NEWZDUS,SWISFUS,BRITPUS,BRUSDSP,CZECKUS,HUNGFUS/100,INDNRUS/100,INDONUS/1000,SKORWUS,MEXPFUS,NORGKUS,PHILPUS,POLZLUS,1/RSUSDSP,SWEDKUS,TAIWDUS,SINGDUS,THAIBUS,TURKLUS,SARFNUS,CHILPUS,MALAYUS,US$CWMN,CHINYUS,HKDOLUS,DANKRUS,BOEUSA$
1/29/1999,0.6288,0.6618,1.136,0.008595,0.5389,0.7064,1.6452,1.9828,0.03087,0.004561,0.02353,0.0001106,0.00085,0.0983598,0.1329,0.02597,0.2727,0.0439,0.1282,0.03096,0.5912,0.02711,2.99979,0.165,0.002044,0.2632,95.5994,0.1208,0.129,0.1527,105.57
2/26/1999,0.6187,0.6632,1.1025,0.0084,0.5228,0.6911,1.603,2.0644,0.02915,0.004334,0.02343,0.0001136,0.00082,0.101,0.1267,0.02567,0.2535,0.0438,0.1226,0.03023,0.5807,0.02679,2.81958,0.1615,0.001992,0.2632,97.5429,0.1208,0.1291,0.1483,107.71
3/31/1999,0.63432,0.66282,1.077,0.008414,0.5357,0.67499,1.61186,1.7216,0.027933,0.004208,0.023565,0.000115,0.00081,0.105042,0.128811,0.025779,0.250075,0.0414,0.121054,0.030172,0.579,0.026589,3,0.1624,0.002061,0.26316,97.96,0.120773,0.129041,0.14485,108.23
4/30/1999,0.6616,0.6866,1.058,0.00838,0.5588,0.657,1.609,1.6603,0.02816,0.004235,0.02335,0.0001238,0.00084,0.1075,0.1282,0.02628,0.2527,0.0413,0.1187,0.03059,0.5898,0.02686,2.56998,0.1638,0.002065,0.2632,97.9125,0.1208,0.129,0.1424,108.21
5/31/1999,0.6524,0.6784,1.0421,0.008229,0.5356,0.6547,1.6013,1.7236,0.02768,0.004185,0.0233,0.0001231,0.00084,0.103,0.1261,0.0263,0.2504,0.0409,0.1161,0.03054,0.5796,0.02696,2.47965,0.16,0.002025,0.2632,98.9972,0.1208,0.129,0.1401,109.42
6/30/1999,0.6675,0.6789,1.0342,0.008249,0.5348,0.6451,1.5773,1.7691,0.02832,0.004138,0.02306,0.0001501,0.00086,0.1066999,0.1276,0.02627,0.2547,0.0413,0.1184,0.03096,0.5885,0.02712,2.37999,0.1658,0.001928,0.2632,99.5112,0.1208,0.1289,0.1391,110.17
7/30/1999,0.6525,0.6639,1.071,0.008734,0.5303,0.67128,1.6227,1.7888,0.02923,0.004221,0.02307,0.0001452,0.00083,0.1063,0.1286,0.02597,0.2594,0.0413,0.1218,0.03106,0.5944,0.02687,2.33995,0.1624,0.00195,0.2632,97.4724,0.1208,0.1288,0.1438,107.23
8/31/1999,0.64,0.6702,1.0573,0.009129,0.5181,0.6607,1.6055,1.9155,0.02887,0.004164,0.023,0.0001303,0.00085,0.107,0.1276,0.0252,0.2517,0.0404,0.1213,0.03145,0.5937,0.02608,2.23983,0.1643,0.001935,0.2632,96.6992,0.1208,0.1288,0.1423,106.17
9/30/1999,0.6521,0.6812,1.069,0.009406,0.5177,0.6687,1.6471,1.9219,0.02985,0.004141,0.02292,0.0001202,0.00082,0.1066999,0.1303,0.02445,0.2439,0.0399,0.1228,0.0315,0.5889,0.02443,2.16998,0.1665,0.001887,0.2632,95.2238,0.1208,0.1287,0.1434,104.29
10/29/1999,0.6377,0.6798,1.0549,0.009606,0.5081,0.6573,1.6453,1.9526,0.02872,0.00412,0.02303,0.0001465,0.00083,0.1041,0.1279,0.02494,0.237,0.0383,0.122,0.03153,0.6015,0.02589,2.07964,0.1627,0.001827,0.2632,95.2188,0.1208,0.1287,0.1419,104.21
11/30/1999,0.6354,0.6786,1.0091,0.009794,0.5095,0.6299,1.5984,1.9223,0.02796,0.003973,0.02304,0.0001367,0.00086,0.1059,0.1241,0.02439,0.2358,0.0379,0.1176,0.03157,0.5949,0.02563,1.9297,0.1619,0.001834,0.2632,96.4453,0.1208,0.1288,0.1355,105.33
12/31/1999,0.656,0.6924,1.0068,0.009792,0.5229,0.6281,1.6153,1.7886,0.02793,0.003957,0.02299,0.0001431,0.00088,0.1055,0.1248,0.02481,0.2418,0.037,0.1176,0.03186,0.6004,0.02655,1.83983,0.1625,0.001888,0.2632,95.8083,0.1208,0.1286,0.1353,105.06
1/31/2000,0.6369,0.6917,0.9705,0.009313,0.496,0.6035,1.6155,1.802,0.02724,0.003801,0.02294,0.0001342,0.00089,0.1043,0.1199,0.02466,0.2376,0.035,0.1128,0.0326,0.5875,0.02664,1.78954,0.1585,0.001931,0.2632,98.1888,0.1208,0.1285,0.1309,107.34
