Index,JP,UK,US,Euro,Pac,,,,,,
1981-12-31,0.00074834,-0.00210975,-0.013083,0.0005016,-0.00041632,,0.0748194686,-0.211022994,-1.3083764749,0.0501484825,-0.0416374064
1982-01-29,-0.00567046,0.00521284,-0.0140998,0.00133945,-0.0096348,,-0.5670862711,0.5210770201,-1.4100175487,0.1339943826,-0.9632940781
1982-02-26,-0.01398975,-0.00491499,-0.02017268,0.00246426,-0.01032865,,-1.3988963179,-0.4912821972,-2.0173623881,0.2464001345,-1.0331616557
1982-03-31,-0.0151514,-4.53157894736842e-05,-0.0010820526,-0.0027758211,-0.0050883158,,-1.515183624,-0.0045327328,-0.1082028387,-0.2776606492,-0.5086857634
1982-04-30,0.0196818526,0.0021877474,0.0165895579,0.003312,0.0168709474,,1.9683768218,0.2186716505,1.6590184048,0.3312602119,1.687018349
1982-05-31,-0.0100344385,0.0041155352,-0.0150077676,-0.0032953584,0.0009775813,,-1.0037856155,0.4114181864,-1.5008017721,-0.3294596386,0.0977407085
1982-06-30,-0.0103186507,-0.0044541838,-0.0018054415,-0.005227576,-0.0099375855,,-1.0318790504,-0.4454194839,-0.1805642931,-0.5225699749,-0.993506319
1982-07-30,-0.0046580842,0.0051742737,-0.0229581158,4.42105263157895e-05,-0.0032664316,,-0.4657588105,0.5172821059,-2.2958893539,0.0044195859,-0.3267608546
1982-08-31,0.0007095,-0.00128248,0.05734296,0.00105711,-0.00625416,,0.0709606374,-0.1281858505,5.7346508171,0.1057459263,-0.6252821985
1982-09-30,-0.00558208,0.00411144,0.01295555,-1.102e-05,0.0052096,,-0.5583099466,0.4111706321,1.2954491558,-0.0011023463,0.5209365429
1982-10-29,-0.0013224705,0.0024161577,0.0539268026,0.0012677139,-0.0045878232,,-0.1322470941,0.2416929058,5.3921370119,0.1268932703,-0.4587907712
1982-11-30,0.0324794579,-0.0009080108,0.0183814981,0.0010788079,-0.003489979,,3.2483488278,-0.0907605851,1.8381140107,0.1078290116,-0.3491080851
1982-12-31,0.02260995,0.00011359,0.00972648,0.00321555,0.00960432,,2.2609356318,0.0113663649,0.9726488824,0.3216177261,0.960238363
1983-01-31,-0.0075084108,-0.0003056706,0.0157268227,0.0019794479,0.0130767477,,-0.7506839656,-0.0305754559,1.5725807015,0.1981064681,1.307893357
1983-02-28,0.0043325264,0.0003980716,0.0260368448,0.0012234178,-0.0049675556,,0.4333093875,0.0397982901,2.6035281519,0.1224611046,-0.4967464589
1983-03-31,0.0061427317,-0.0002599024,0.0259284293,0.002994322,-0.0066143415,,0.6143694843,-0.0260013145,2.5926424799,0.2994132063,-0.6614023311
1983-04-29,0.00218592,0.00883858,0.04404116,0.00279543,0.02154,,0.2186021656,0.8843192296,4.4040461272,0.2793349643,2.154167084
1983-05-31,-0.00219992,0.00263998,-0.00024812,-0.00059042,0.00281106,,-0.2199884478,0.2638273031,-0.0248130383,-0.0590698542,0.281103592
1983-06-30,0.0021112,0.00023519,0.02510376,0.0015158,0.00259729,,0.2110912807,0.0235257834,2.5103784603,0.1515978702,0.2597001871
1983-07-29,-6.306e-05,-0.00314785,-0.0235524,0.00041633,0.01649094,,-0.0063065213,-0.3148692778,-2.3551630646,0.0416473815,1.6487769667
1983-08-31,-0.0002317651,-0.000937154,0.0093446479,-0.0008217872,0.0086941375,,-0.0231684535,-0.0936682386,0.9345396869,-0.0822010386,0.8693417604
1983-09-30,0.0105682857,0.0019460381,0.0075641905,0.001014,0.0016407619,,1.0568650873,0.1945796421,0.7564519247,0.1013704459,0.1640668997
1983-10-31,0.0037744842,-0.0003417789,-0.0076848947,-0.0003332526,0.0009556105,,0.3775407808,-0.0341209177,-0.7684481676,-0.0333473839,0.0955673224
1983-11-30,-3.54e-05,0.00367763,0.02435895,0.00114151,0.01175466,,-0.0035388877,0.3679052605,2.4358739879,0.1142518537,1.1751881802
1983-12-31,0.0156563089,0.0023150176,0.0038345491,0.0002771736,0.0071308447,,1.5658936851,0.2314916605,0.383466273,0.0277092853,0.7129522448
1984-01-31,0.0008468647,0.0053943394,0.009590119,0.0038262826,0.0118934893,,0.0846939655,0.5396376378,0.9589404658,0.3826043694,1.1894159194
1984-02-29,-0.0025517,0.00400374,-0.01639073,0.00269926,-0.00448137,,-0.2552592165,0.4005342371,-1.6389633424,0.2698554452,-0.4480657323
1984-03-30,0.02241456,0.00059058,0.00669178,0.0017864,0.00163609,,2.2409376234,0.0590415048,0.6691665055,0.1787002493,0.1636543351
1984-04-30,-0.00523446,-6.237e-05,0.010998,-0.000513,0.00144158,,-0.5234495691,-0.0062380755,1.0998627028,-0.0513035837,0.144116909
1984-05-31,-0.022389519,-0.003439744,-0.0334324032,-0.002169977,-0.0145448145,,-2.2389954054,-0.343853778,-3.3431403708,-0.2171453681,-1.4543234143
1984-06-29,-0.00158237,0.00040392,0.00890975,-0.0004752,-0.00247416,,-0.1582001042,0.0404379179,0.8909388713,-0.047512588,-0.2474987573
1984-07-31,-0.01281644,-0.00132066,-0.01566732,-0.00196874,0.0006624,,-1.2815792349,-0.1322584373,-1.5666683964,-0.1968384644,0.066242585
1984-08-31,0.0128445145,0.0019074107,0.0697885789,0.0042910791,0.0119149915,,1.2844281212,0.1910495931,6.9785257831,0.4291308591,1.1914146133
1984-09-28,-0.0064364211,-0.0004431368,0.0115476632,-0.0004257053,-0.0012100421,,-0.6434834843,-0.044356406,1.1548547352,-0.0425481824,-0.1210002334
1984-10-31,0.0089613333,0.0005356952,-0.0009554,0.0001702381,0.0038265905,,0.895999839,0.053580267,-0.0955367795,0.0170191666,0.3828212853
1984-11-30,0.004896,0.0033944857,-0.0032375048,-0.0003496762,0.0023616,,0.4895748199,0.3394535441,-0.3237491016,-0.034937461,0.2362372104
1984-12-31,0.0107980383,0.0026902009,0.0096079992,0.0002537187,-0.0015718503,,1.079781418,0.2688691959,0.9608799264,0.0253461054,-0.1572239805
1985-01-31,-0.0033828,0.00215136,0.03221956,0.00160975,0.00634392,,-0.3383272835,0.2150341307,3.2218944585,0.1607100534,0.6347108715
1985-02-28,0.0014254575,-0.0011555644,0.0221667433,-0.0008567143,-0.0028772523,,0.1425404523,-0.1153816296,2.2169968888,-0.0856405653,-0.2875708188
1985-03-29,0.0137560844,0.0098534747,0.0092180282,0.0019343666,0.0014182682,,1.3755781129,0.984818013,0.9218593288,0.1936022805,0.1418115225
1985-04-30,0.00636054,0.00167307,0.00207504,0.00090117,-0.00122496,,0.6361093919,0.1672110557,0.2075199892,0.0901118651,-0.1224225899
1985-05-31,0.0225259874,0.0086382362,0.0370327367,0.0012728327,-0.0006015598,,2.2283159499,0.8541577261,3.6627206515,0.1257164548,0
1985-06-28,0.00961675,-0.00043225,0.013167,0.0049629,-6.944e-05,,0.9499979715,-0.0426558076,1.3004820901,0.4903905072,0
1985-07-31,0.0291831983,0.0094354235,-0.0042351035,0.0093839384,-0.0020921992,,2.8791091826,0.9310009958,-0.4177476388,0.9257589993,0
1985-08-30,0.0319144514,0.0057980198,-0.000510151,0.0063040904,-2.75127512751275e-05,,3.1499796107,0.5725176278,-0.0503514232,0.6223975893,0
1985-09-30,0.05740328,-0.00191012,-0.00789052,0.00775107,-0.0009514,,5.6592959163,-0.1883624237,-0.7780161683,0.7643550802,0
1985-10-31,-0.0156950732,0.0113944976,0.0219241463,0.0177080195,-0.0008745561,,-1.549540355,1.1248355853,2.1642753281,1.7479905128,0
1985-11-29,0.0025903805,0.0056429494,0.027133453,0.0202225413,0.001676628,,0.2489766139,0.5424144385,2.6084914112,1.9437782337,0
1985-12-31,0.0059230872,-0.0034132615,0.0175430769,0.0219309538,-0.0002791897,,0.5823242861,-0.3356012419,1.7248386873,2.1559350041,0
1986-01-31,0.00812625,0.00199515,0.00202229,0.009864,-0.0029267,,0.7977642744,0.1959787888,0.1985567841,0.9684306717,0
1986-02-28,0.0483135707,0.0095442146,0.0338096,0.038742,-0.0001054829,,4.757344741,0.939970196,3.3295040889,3.8145864737,0
1986-03-31,0.05990274,0.01016769,0.03413046,0.01699922,-0.0022534,,5.8794871701,0.9973500662,3.3494410352,1.6681647846,0
