Date,JP,UK,US,Euro,Pac
1/31/1977,0.0286,0.127,-0.0048,-0.0212,0.0296
2/28/1977,0.0601,0.0353,-0.0337,0.0041,0.0182
3/31/1977,0.0352,0.0467,0.0054,-0.0133,0.0207
4/29/1977,0.0246,0.0304,0.0261,0.031,-0.0053
5/31/1977,-0.012,0.0552,-0.0087,-0.011,0.0606
6/30/1977,0.0537,0.0204,0.0603,0.026,0.0198
7/29/1977,-0.0011,-0.0106,-0.0244,-0.0002,0.0073
8/31/1977,0.0697,0.1676,-0.0464,0.0179,-0.0344
9/30/1977,-0.0102,0.08,0.0228,0.0347,0.0596
10/31/1977,0.0003,0.0588,-0.0383,0.0246,0.0737
11/30/1977,0.0004,-0.0888,0.0621,-0.0179,-0.0007
12/31/1977,0.0552,0.1053,0.0185,0.0404,0.1049
1/31/1978,0.0672,-0.0091,-0.0685,0.0018,0.0025
2/28/1978,0.018,-0.0806,-0.0027,0.0373,-0.0275
3/31/1978,0.157,0.0115,0.0419,0.1185,0.033
4/28/1978,-0.0077,0.0093,0.0834,0.0096,0.052
5/31/1978,0.0291,0.059,0.0425,0.03,0.0315
6/30/1978,0.0903,0.0017,-0.0059,0.0075,0.0373
7/31/1978,0.1065,0.1368,0.0871,0.0948,0.0361
8/31/1978,-0.0011,0.0529,0.0481,0.0172,0.0796
9/29/1978,0.0079,-0.0039,-0.0153,0.0981,0.0549
10/31/1978,0.0967,0.0267,-0.1111,0.0156,-0.0308
11/30/1978,-0.0659,-0.0637,0.0512,-0.0901,-0.0765
12/31/1978,0.0714,0.0332,0.0206,0.072,0.0633
1/31/1979,0.0237,0.0035,0.053,0.0172,0.0649
2/28/1979,-0.0503,0.071,-0.0338,-0.0053,0.0105
3/30/1979,-0.0397,0.1285,0.0827,0.056,-0.005
4/30/1979,-0.0587,0.045,0.0036,-0.0003,-0.0443
5/31/1979,0.0445,-0.0723,-0.0116,-0.0153,0.1279
6/29/1979,0.0054,-0.0063,0.0503,0.0944,-0.0033
7/31/1979,-0.0184,0.021,-0.0005,-0.0005,0.0427
8/31/1979,0.0196,0.0487,0.0792,0.0642,0.1337
9/28/1979,-0.0047,0.0146,0.0334,0.0849,0.1006
10/31/1979,-0.105,-0.1295,-0.0821,-0.0599,-0.0188
11/30/1979,-0.0218,0.0573,0.072,0.0273,0.0295
12/31/1979,0.0877,0.0214,0.0613,0.0132,0.09
1/31/1980,0.0842,0.1144,0.1338,0.0221,0.1461
2/29/1980,-0.0132,0.0509,0.059,-0.0089,0.0831
3/31/1980,-0.0343,-0.1222,-0.1617,-0.125,-0.1884
4/30/1980,0.1072,0.0928,0.0313,0.1073,0.1007
5/30/1980,0.0395,0.0078,0.0619,0.0404,0.1125
6/30/1980,0.0308,0.1387,0.0537,0.0346,0.0691
7/31/1980,-0.0464,0.0684,0.0651,-0.0133,0.0853
8/29/1980,0.0888,-0.0051,0.0284,-0.0136,0.0528
9/30/1980,0.0959,0.0251,0.0453,-0.0036,0.1052
10/31/1980,0.0154,0.0805,0.0279,-0.0167,0.0788
11/28/1980,-0.0323,-0.0376,0.1328,0.012,0.0214
12/31/1980,0.0956,-0.0381,-0.0759,-0.0213,-0.0375
1/30/1981,0.0182,0.0161,-0.064,-0.0746,-0.0596
2/27/1981,-0.0146,-0.016,0.0151,0.0503,0.0293
3/31/1981,0.1236,0.0281,0.0436,0.0545,0.0312
4/30/1981,0.0986,0.0241,-0.0219,-0.0484,0.0242
5/29/1981,-0.0161,-0.0926,-0.0073,-0.0974,0.0037
6/30/1981,0.0515,0.031,-0.0141,0.0278,-0.0617
7/31/1981,-0.0271,-0.034,0.0048,-0.0234,-0.0398
8/31/1981,0.0654,0.0693,-0.0465,0.0421,0.0045
9/30/1981,-0.0685,-0.1816,-0.0725,-0.0021,-0.0594
10/30/1981,-0.0216,0.032,0.06,0.043,0.0244
11/30/1981,0.1131,0.2155,0.0447,0.0801,0.0914
12/31/1981,0.0031,-0.0291,-0.0267,0.0076,-0.0032
1/29/1982,-0.0227,0.0722,-0.029,0.0215,-0.0744
2/26/1982,-0.0575,-0.0563,-0.0418,0.0402,-0.0823
3/31/1982,-0.0781,-0.0005,-0.0021,-0.0393,-0.0393
4/30/1982,0.1096,0.0233,0.0318,0.046,0.127
5/31/1982,-0.0553,0.0451,-0.0288,-0.0468,0.0072
6/30/1982,-0.0575,-0.0462,-0.0035,-0.0748,-0.0718
7/30/1982,-0.0262,0.0548,-0.0433,0.0007,-0.0243
8/31/1982,0.0043,-0.0136,0.1091,0.0167,-0.0412
9/30/1982,-0.0356,0.0463,0.0235,-0.0002,0.0352
10/29/1982,-0.009,0.0268,0.0914,0.0436,-0.0319
11/30/1982,0.1703,-0.0104,0.0317,0.0469,-0.0293
12/31/1982,0.0965,0.0037,0.0171,0.0663,0.0816
1/31/1983,-0.0437,-0.0108,0.0261,0.0377,0.0903
2/28/1983,0.0263,0.0154,0.0412,0.0479,-0.0327
3/31/1983,0.0395,-0.0036,0.0432,0.1003,-0.0465
4/29/1983,0.0198,0.1231,0.0716,0.0473,0.15
5/31/1983,-0.0214,0.0346,-0.0004,-0.0106,0.0194
6/30/1983,0.0203,0.0029,0.0407,0.0286,0.0179
7/29/1983,-0.0006,-0.0401,-0.038,0.0079,0.1146
8/31/1983,-0.002,-0.0331,0.0145,-0.0143,0.0565
9/30/1983,0.0705,0.0271,0.0128,0.021,0.0118
10/31/1983,0.0307,-0.0137,-0.0119,-0.0061,0.0063
11/30/1983,-0.0003,0.0499,0.0399,0.0211,0.0818
12/31/1983,0.0991,0.0325,0.0066,0.0054,0.0515
1/31/1984,0.0066,0.0724,0.0161,0.0702,0.0809
2/29/1984,-0.019,0.0522,-0.0281,0.0467,-0.0303
3/30/1984,0.1176,0.0193,0.0118,0.029,0.0109
4/30/1984,-0.0242,-0.0021,0.02,-0.009,0.0098
5/31/1984,-0.1058,-0.1186,-0.0602,-0.0382,-0.0988
6/29/1984,-0.0079,0.0153,0.0157,-0.008,-0.0169
7/31/1984,-0.0637,-0.0506,-0.0274,-0.0346,0.0046
8/31/1984,0.0661,0.0798,0.119,0.0805,0.0839
9/28/1984,-0.0316,-0.0194,0.0186,-0.0146,-0.0098
10/31/1984,0.0385,0.0079,-0.0017,0.0065,0.0344
11/30/1984,0.0204,0.0507,-0.0058,-0.0137,0.0216
12/31/1984,0.0407,0.0394,0.0173,0.0107,-0.018
1/31/1985,-0.012,0.0288,0.0607,0.0685,0.0712
2/28/1985,0.0048,-0.0496,0.0376,-0.017,-0.0723
3/29/1985,0.0501,0.1422,0.0169,0.0856,0.0161
4/30/1985,0.0227,0.0217,0.0036,0.0323,-0.0319
5/31/1985,0.0821,0.0662,0.0644,0.0408,0.0542
6/28/1985,0.0325,-0.0133,0.0228,0.0466,0.0056
7/31/1985,0.0964,0.1208,-0.0081,0.0853,0.1527
8/30/1985,0.1063,0.0671,-0.001,0.0542,0.0021
9/30/1985,0.1892,-0.0212,-0.0158,0.0639,0.067
10/31/1985,-0.0535,0.1344,0.0475,0.1022,0.0674
11/29/1985,0.0093,0.0604,0.0599,0.0939,-0.0416
12/31/1985,0.0271,-0.0359,0.0362,0.1002,0.0163
1/31/1986,0.0375,0.0235,0.0043,0.04,0.1582
2/28/1986,0.1843,0.1173,0.0748,0.1761,0.0068
3/31/1986,0.2154,0.1209,0.0798,0.0742,0.1186
4/30/1986,0.0414,0.0687,-0.0186,0.1173,0.0669
5/30/1986,0.0262,-0.0709,0.0671,-0.0774,0.0025
6/30/1986,0.1277,0.0938,0.0348,0.0317,-0.0067
7/31/1986,0.1348,-0.0873,-0.0526,0.0095,-0.1143
8/29/1986,0.0919,0.0407,0.0674,0.1292,0.1176
9/30/1986,-0.0054,-0.0815,-0.0952,-0.0288,0.0874
10/31/1986,-0.0786,0.0164,0.0679,0.0109,0.0583
11/28/1986,0.0709,0.0497,0.0257,0.0417,0.0246
12/31/1986,0.0355,0.0548,-0.0204,0.0148,0.0667
1/30/1987,0.0877,0.1417,0.1455,0.0099,0.0377
2/27/1987,0.0153,0.1015,0.0227,0.0168,0.0765
3/31/1987,0.0484,0.0384,0.037,0.0486,0.1294
4/30/1987,0.1102,0.0727,-0.0076,0.0273,-0.0083
5/29/1987,0.0462,0.0461,0.0006,-0.0234,0.0338
6/30/1987,-0.0004,0.0691,0.0553,0.0508,0.0449
7/31/1987,0.0063,0.0419,0.0486,0.0539,0.1226
8/31/1987,0.0905,-0.0227,0.0334,0.0366,0.0394
9/30/1987,0.0664,0.0561,-0.0132,-0.0206,0.0634
10/30/1987,-0.1112,-0.2358,-0.2194,-0.141,-0.3841
11/30/1987,0.0636,-0.0371,-0.0714,-0.0337,0.1122
12/31/1987,0.0615,0.2101,0.0759,0.0313,0.0231
1/29/1988,0.0089,-0.0182,0.0082,-0.0286,0.0273
2/29/1988,0.0747,0.0104,0.0503,0.0675,0.0128
3/31/1988,0.107,0.0512,-0.0184,0.0319,0.1046
4/29/1988,0.0445,0.0357,0.0066,0.0159,0.0455
5/31/1988,-0.0316,-0.014,-0.0046,-0.0286,0.0781
6/30/1988,0.0168,-0.0276,0.0396,0.0142,-0.0164
7/29/1988,0.1092,0.0161,-0.0044,-0.0079,0.0499
8/31/1988,-0.0868,-0.0795,-0.0324,-0.0288,-0.0216
9/30/1988,0.0636,0.0362,0.0382,0.0522,0.0003
10/31/1988,0.042,0.0921,0.0402,0.0996,0.0641
11/30/1988,0.0849,-0.0087,-0.0176,0.0398,0.0124
12/31/1988,-0.0143,-0.0213,0.0246,0.0319,-0.0012
1/31/1989,0.0122,0.1274,0.0203,-0.0015,0.0994
2/28/1989,0.0343,-0.0028,-0.021,0.0151,-0.0923
3/31/1989,-0.0204,0.0212,0.0389,0.0155,0.0188
4/28/1989,0.0272,0.0148,0.0204,0.0441,0.0282
5/31/1989,-0.0245,-0.0573,0.0329,-0.0179,-0.034
6/30/1989,-0.0529,0.0021,-0.0032,0.0778,-0.0452
7/31/1989,0.1131,0.1334,0.1148,0.0659,0.0769
8/31/1989,-0.0642,-0.0466,0.0223,0.0051,0.0308
9/29/1989,0.0836,-0.0021,0.0037,0.0258,0.0422
10/31/1989,-0.0187,-0.1142,-0.0194,-0.0405,-0.0188
11/30/1989,0.0264,0.059,0.0211,0.0622,0.0299
12/31/1989,0.0103,0.1054,0.0183,0.1253,0.0604
1/31/1990,-0.0316,0.0033,-0.0828,0.0106,0.0176
2/28/1990,-0.0767,-0.0325,0.0069,-0.0021,-0.0525
3/30/1990,-0.1417,-0.0089,0.0438,0.0477,-0.021
4/30/1990,0.0155,-0.0627,-0.0084,-0.0036,-0.056
5/31/1990,0.1472,0.1427,0.1038,0.0331,0.086
6/29/1990,-0.0182,0.0672,0.0162,0.0256,0.0326
7/31/1990,0.0141,0.0424,0.0057,0.0276,0.0475
8/31/1990,-0.1178,-0.0816,-0.0904,-0.1317,-0.0533
9/28/1990,-0.153,-0.0916,-0.045,-0.1095,-0.0758
10/31/1990,0.3035,0.1042,0.0126,0.0479,-0.0137
11/30/1990,-0.1487,0.0539,0.0663,0.0052,-0.0008
12/31/1990,0.0119,0.0002,0.0311,-0.0068,-0.0126
1/31/1991,0.0003,0.0202,0.04,0.0394,0.0667
2/28/1991,0.1841,0.1287,0.0608,0.1079,0.0916
3/29/1991,-0.0639,-0.0707,0.0258,-0.0667,0.0419
4/30/1991,0.0097,-0.0157,0.0027,-0.0051,0.0313
5/31/1991,-0.0077,-0.009,0.0321,0.0549,0.0121
6/28/1991,-0.0603,-0.0841,-0.0383,-0.071,-0.0115
7/31/1991,0.0304,0.1054,0.0476,0.0341,0.077
8/30/1991,-0.0711,0.0419,0.0213,0.0178,-0.0039
9/30/1991,0.1313,0.0293,0.0001,0.0373,0.0069
10/31/1991,0.0218,-0.0124,0.0377,-0.014,0.0283
11/29/1991,-0.0771,-0.066,-0.046,-0.0016,0.0119
12/31/1991,0.0519,0.1092,0.1215,0.0573,0.0273
1/31/1992,-0.019,0.0041,-0.0154,0.0141,0.0423
2/28/1992,-0.0611,0.0001,0.0278,0.015,0.0533
3/31/1992,-0.1002,-0.0639,-0.0165,-0.0219,-0.0024
4/30/1992,-0.0117,0.1258,0.0188,0.008,0.0592
