Date,JP,UK,US,Euro,Pac
1/31/1977, 0.1213 , 0.0565 , 0.6507 , 0.1443 , 0.0271 
2/28/1977, 0.1215 , 0.0639 , 0.6408 , 0.1457 , 0.0281 
3/31/1977, 0.1296 , 0.0657 , 0.6304 , 0.1468 , 0.0275 
4/29/1977, 0.1374 , 0.0667 , 0.6226 , 0.1455 , 0.0279 
5/31/1977, 0.1375 , 0.0687 , 0.6169 , 0.1490 , 0.0279 
6/30/1977, 0.1389 , 0.0715 , 0.6125 , 0.1484 , 0.0287 
7/29/1977, 0.1397 , 0.0704 , 0.6190 , 0.1432 , 0.0277 
8/31/1977, 0.1380 , 0.0706 , 0.6215 , 0.1425 , 0.0273 
9/30/1977, 0.1467 , 0.0792 , 0.6043 , 0.1432 , 0.0266 
10/31/1977, 0.1475 , 0.0849 , 0.5976 , 0.1440 , 0.0260 
11/30/1977, 0.1535 , 0.0877 , 0.5823 , 0.1494 , 0.0271 
12/30/1977, 0.1520 , 0.0823 , 0.5892 , 0.1496 , 0.0269 
1/31/1978, 0.1505 , 0.0861 , 0.5833 , 0.1530 , 0.0272 
2/28/1978, 0.1693 , 0.0859 , 0.5618 , 0.1562 , 0.0268 
3/31/1978, 0.1685 , 0.0816 , 0.5581 , 0.1649 , 0.0268 
4/28/1978, 0.1826 , 0.0795 , 0.5466 , 0.1638 , 0.0274 
5/31/1978, 0.1740 , 0.0759 , 0.5700 , 0.1527 , 0.0274 
6/30/1978, 0.1737 , 0.0781 , 0.5664 , 0.1537 , 0.0282 
7/31/1978, 0.1886 , 0.0762 , 0.5512 , 0.1539 , 0.0300 
8/31/1978, 0.1881 , 0.0770 , 0.5560 , 0.1499 , 0.0290 
9/29/1978, 0.1815 , 0.0772 , 0.5558 , 0.1539 , 0.0316 
10/31/1978, 0.1837 , 0.0774 , 0.5472 , 0.1611 , 0.0306 
11/30/1978, 0.2042 , 0.0827 , 0.5024 , 0.1750 , 0.0358 
12/29/1978, 0.1936 , 0.0811 , 0.5293 , 0.1640 , 0.0321 
1/31/1979, 0.1969 , 0.0809 , 0.5214 , 0.1687 , 0.0321 
2/28/1979, 0.1909 , 0.0787 , 0.5321 , 0.1653 , 0.0329 
3/30/1979, 0.1882 , 0.0870 , 0.5242 , 0.1667 , 0.0340 
4/30/1979, 0.1750 , 0.0959 , 0.5332 , 0.1626 , 0.0334 
5/31/1979, 0.1713 , 0.1026 , 0.5341 , 0.1589 , 0.0330 
6/29/1979, 0.1770 , 0.0969 , 0.5337 , 0.1563 , 0.0361 
7/31/1979, 0.1746 , 0.0947 , 0.5379 , 0.1586 , 0.0342 
8/31/1979, 0.1707 , 0.0925 , 0.5370 , 0.1636 , 0.0362 
9/28/1979, 0.1661 , 0.0912 , 0.5423 , 0.1623 , 0.0380 
10/31/1979, 0.1655 , 0.0908 , 0.5332 , 0.1697 , 0.0408 
11/30/1979, 0.1649 , 0.0889 , 0.5359 , 0.1685 , 0.0418 
12/31/1979, 0.1535 , 0.0893 , 0.5434 , 0.1696 , 0.0441 
1/31/1980, 0.1598 , 0.0868 , 0.5388 , 0.1662 , 0.0484 
2/29/1980, 0.1536 , 0.0909 , 0.5441 , 0.1597 , 0.0516 
3/31/1980, 0.1465 , 0.0957 , 0.5471 , 0.1560 , 0.0546 
4/30/1980, 0.1625 , 0.0881 , 0.5479 , 0.1517 , 0.0498 
5/30/1980, 0.1652 , 0.0894 , 0.5357 , 0.1571 , 0.0526 
6/30/1980, 0.1668 , 0.0858 , 0.5354 , 0.1563 , 0.0558 
7/31/1980, 0.1635 , 0.0954 , 0.5311 , 0.1528 , 0.0572 
8/29/1980, 0.1498 , 0.0969 , 0.5507 , 0.1469 , 0.0557 
9/30/1980, 0.1561 , 0.0967 , 0.5436 , 0.1441 , 0.0595 
10/31/1980, 0.1618 , 0.0963 , 0.5389 , 0.1406 , 0.0625 
11/28/1980, 0.1622 , 0.1013 , 0.5319 , 0.1353 , 0.0693 
12/31/1980, 0.1505 , 0.0950 , 0.5596 , 0.1295 , 0.0654 
1/30/1981, 0.1655 , 0.0925 , 0.5501 , 0.1275 , 0.0644 
2/27/1981, 0.1729 , 0.0944 , 0.5459 , 0.1244 , 0.0624 
3/31/1981, 0.1707 , 0.0907 , 0.5515 , 0.1249 , 0.0622 
4/30/1981, 0.1758 , 0.0881 , 0.5522 , 0.1234 , 0.0604 
5/29/1981, 0.1894 , 0.0916 , 0.5380 , 0.1194 , 0.0616 
6/30/1981, 0.1845 , 0.0839 , 0.5577 , 0.1093 , 0.0647 
7/31/1981, 0.1925 , 0.0809 , 0.5572 , 0.1077 , 0.0617 
8/31/1981, 0.1885 , 0.0781 , 0.5752 , 0.1070 , 0.0512 
9/30/1981, 0.1993 , 0.0824 , 0.5588 , 0.1099 , 0.0496 
10/30/1981, 0.1950 , 0.0736 , 0.5722 , 0.1147 , 0.0446 
11/30/1981, 0.1875 , 0.0647 , 0.5796 , 0.1156 , 0.0527 
12/31/1981, 0.1914 , 0.0725 , 0.5650 , 0.1160 , 0.0551 
1/29/1982, 0.1998 , 0.0722 , 0.5612 , 0.1123 , 0.0545 
